도로명주소,Latitude,Longitude
서울특별시 강남구 삼성로 766,37.5232295,127.0481793
서울특별시 강남구 선릉로162길 16,37.5266961,127.0416829
서울특별시 강남구 학동로59길 43,37.5202953,127.0445709
서울특별시 강남구 봉은사로86길 30,37.5114126,127.0567797
서울특별시 강남구 압구정로28길 25,37.5249358,127.0278206
서울특별시 강남구 논현로 430,37.4990701,127.0383674
서울특별시 강남구 영동대로137길 3,37.5217739,127.0552543
서울특별시 강남구 도산대로90길 7,37.5237559,127.0493854
서울특별시 강남구 영동대로 618,37.5156913,127.059956
서울특별시 강남구 논현로167길 13,37.5244689,127.0270025
서울특별시 강남구 논현로28길 29,37.4838983,127.0444025
서울특별시 강남구 삼성로81길 30,37.5041291,127.0552371
서울특별시 강남구 도산대로 304,37.5212072,127.0346978
서울특별시 강남구 도산대로 308,37.5215093,127.03519
서울특별시 강남구 도산대로50길 14,37.5215154,127.0373367
서울특별시 강남구 도산대로62길 13,37.5225249,127.0431677
서울특별시 강남구 선릉로161길 5,37.5269373,127.0397897
서울특별시 강남구 도산대로49길 31,37.5250171,127.0369619
서울특별시 강남구 선릉로132길 27,37.5185642,127.0434135
서울특별시 강남구 언주로172길 30,37.5272356,127.0362012
서울특별시 강남구 논현로163길 10,37.5242211,127.0273341
서울특별시 강남구 밤고개로14길 13-48,37.4794712,127.1027992
서울특별시 강남구 선릉로155길 26,37.5257762,127.0375831
서울특별시 강남구 압구정로10길 14,37.5228074,127.0217344
서울특별시 강남구 논현로 854,37.5254187,127.028869
서울특별시 강남구 강남대로114길 21,37.5062399,127.0259825
서울특별시 강남구 선릉로86길 40-4,37.5037129,127.0530043
서울특별시 강남구 압구정로48길 28,37.5267932,127.036637
서울특별시 강남구 도산대로49길 6-7,37.5234854,127.0377835
서울특별시 강남구 압구정로2길 46,37.5187712,127.0206688
서울특별시 강남구 선릉로157길 23-3,37.5259859,127.0378994
서울특별시 강남구 강남대로62길 18,37.490455,127.0330547
서울특별시 강남구 학동로59길 5,37.518114,127.043446
서울특별시 강남구 강남대로152길 46,37.5181832,127.022992
서울특별시 강남구 선릉로148길 52,37.5228765,127.0437692
