학원/교습소,학원명,도로명주소,개설일자,적재일시,위도,경도
교습소,민교수수학교습소,서울특별시 강남구 선릉로 225,20060320,20230627,37.5290401,127.041123
학원,에이루트아카데미학원,서울특별시 강남구 언주로133길 29,20060327,20230627,37.516216,127.033916
학원,원헌드레드클래식스(100CLASSICS)어학원,서울특별시 강남구 언주로 861,20000603,20230629,37.5127061,127.0355919
학원,강남고도미술학원,서울특별시 강남구 강남대로 240,20060411,20230627,37.5064819,127.0236118
학원,에스에이(SA)쎈학원,서울특별시 강남구 영동대로112길 5,20060419,20230627,37.5158846,127.065351
교습소,이해법수학교습소,서울특별시 강남구 광평로10길 15,20060421,20230627,37.4827048,127.0799026
학원,이아이이(EIE)매쓰캔학원,서울특별시 강남구 개포로22길 94,20060428,20230627,37.4760298,127.050135
학원,체험수학학원,서울특별시 강남구 선릉로72길 20,20060428,20230627,37.5007475,127.0537515
학원,펠리스스페인어학원,서울특별시 강남구 테헤란로1길 10,20061009,20230627,37.4989566,127.0282211
학원,파라오프리미엄미술학원,서울특별시 강남구 선릉로 408,20060512,20230627,37.5290401,127.041123
학원,와이즈만압구정학원,서울특별시 강남구 압구정로34길 11,20060512,20230627,37.5264794,127.0306953
학원,미래탐구별관2학원,서울특별시 강남구 도곡로63길 13,20060512,20230627,37.4981775,127.0540753
학원,티움미술학원,서울특별시 강남구 선릉로86길 12,20060516,20230627,37.5035345,127.0515452
학원,월스트리트잉글리쉬삼성센터어학원,서울특별시 강남구 테헤란로 513,20060518,20230627,37.5086744,127.0629003
학원,조아사진학원,서울특별시 강남구 남부순환로361길 9,20060525,20230627,37.4852193,127.0374432
학원,미래탐구초등학원,서울특별시 강남구 삼성로 308,20060602,20230730,37.48436825,127.067941475418
학원,개념상상압구정관학원,서울특별시 강남구 압구정로30길 17,20060608,20230627,37.524714,127.0290956
학원,박승철뷰티아카데미학원,서울특별시 강남구 언주로 869,20020730,20230627,37.5127061,127.0355919
학원,에스이레아카데미원격학원,서울특별시 강남구 테헤란로86길 15,20060703,20230627,37.5069777,127.0590687
교습소,신하연영어교습소,서울특별시 강남구 선릉로68길 12,20060707,20230627,37.499362,127.0535017
학원,압구정파인만중3관학원,서울특별시 강남구 언주로167길 37,20061216,20230627,37.5264475,127.0315016
학원,압구정파인만중2관학원,서울특별시 강남구 언주로167길 37,20060711,20230627,37.5264475,127.0315016
학원,피아이어학원,서울특별시 강남구 도곡로 319,20060712,20230627,37.5001816,127.0648724
교습소,블루숲미술교습소,서울특별시 강남구 압구정로18길 14,20060724,20230627,37.5236292,127.0249963
학원,리온미술학원,서울특별시 강남구 선릉로86길 15,20060726,20230627,37.5035345,127.0515452
학원,새움6관학원,서울특별시 강남구 삼성로 301,20060728,20230627,37.499051300000000,127.06048790743200
학원,대치소마학원,서울특별시 강남구 삼성로 314,20060727,20230627,37.500055700000000,127.06068218926100
학원,배선생학원,서울특별시 강남구 삼성로63길 6,20060810,20230627,37.5011242,127.0588657
교습소,엘리제피아노교습소,서울특별시 강남구 남부순환로363길 15,20060821,20230627,37.4863276,127.0386404
학원,제2한빛변리사학원,서울특별시 강남구 논현로95길 29-8,20060821,20230627,37.5015744,127.0339969
교습소,시카고아트미술교습소,서울특별시 강남구 언주로 110,20060905,20230627,37.48311185,127.05300961301400
학원,알아이에스키즈어학원(Ris Kids Academy),서울특별시 강남구 도곡로 157,20060918,20230627,37.5001816,127.0648724
학원,이보영의토킹클럽강남삼성분원학원,서울특별시 강남구 봉은사로67길 30,20060918,20230627,37.5124871,127.048515
학원,게임그래픽학원,서울특별시 강남구 학동로4길 15,20060926,20230627,37.5100561,127.023491
학원,국제방송아카데미학원,서울특별시 강남구 봉은사로 640?,20120316,20230627,37.5153694,127.0665939
학원,투맨미술학원,서울특별시 강남구 선릉로86길 44-3,20060928,20230627,37.5035345,127.0515452
