,인허가일자,폐업일자,사업장명,도로명주소,Latitude,Longitude
107,2022-04-21,,매머드 익스프레스 역삼신한점,서울특별시 강남구 언주로 405,37.4992085,127.0439217
108,2017-12-01,,투썸플레이스 수서역점,서울특별시 강남구 광평로56길 8-13,37.4867729,127.103178
109,2022-06-16,,스멜로우(:smellow),서울특별시 강남구 테헤란로6길 32,37.4964816,127.0311626
110,2022-11-17,,샐러디 압구정로데오역점,서울특별시 강남구 선릉로 815,37.5248974,127.0392938
111,2022-04-04,,씨유 논현성덕점,서울특별시 강남구 강남대로114길 41,37.5066967,127.0274518
112,2020-12-28,,투썸플레이스 삼성도심공항점,서울특별시 강남구 테헤란로87길 35,37.5098916,127.0575145
113,2020-08-18,,투썸플레이스 압구정역점,서울특별시 강남구 압구정로 158,37.5261649,127.0269995
114,2019-10-30,,투썸플레이스 청담역점,서울특별시 강남구 영동대로 704,37.5206115,127.0573936
115,2017-05-01,,수서경찰서 구내식당,서울특별시 강남구 개포로 617,37.4933303,127.0769501
116,2008-05-26,,스타벅스 구역삼사거리점,서울특별시 강남구 논현로 401,37.4959266,127.0388715
117,2003-01-13,,스타벅스SSG마켓도곡R,서울특별시 강남구 언주로30길 57,37.4897104,127.0544907
118,2012-03-22,,스타벅스 강남비젼타워점,서울특별시 강남구 테헤란로2길 27,37.4965546,127.0296354
119,2006-04-14,,스타벅스아크플레이스,서울특별시 강남구 테헤란로 142,37.4997187,127.0348982
120,1989-04-21,,거석,서울특별시 강남구 도곡로 131,37.490676,127.0344195
121,2010-12-07,,더카페강남구청점,서울특별시 강남구 선릉로 712,37.5184763,127.0410422
122,2022-12-26,,유로스커피 로스터스 삼성점,서울특별시 강남구 삼성로96길 9,37.5089276,127.0566817
123,2021-11-29,,롯데쇼핑(주)롯데슈퍼 수서역점,서울특별시 강남구 밤고개로1길 10,37.4880163,127.1018486
124,2014-10-22,,베르체 도심공항터미널점,서울특별시 강남구 테헤란로87길 22,37.5095909,127.0592738
125,2021-09-14,,스타벅스 수서역사거리점,서울특별시 강남구 광평로 280,37.4873264,127.1031402
126,2021-04-08,,스타벅스 강남세곡점,서울특별시 강남구 헌릉로569길 18,37.467293,127.0999374
127,2022-12-28,,투썸플레이스 개포언주로점,서울특별시 강남구 언주로7길 6,37.477066,127.0554648
128,2022-04-21,,피자에 공감하다,서울특별시 강남구 봉은사로7길 38,37.5080893,127.0272291
129,2021-10-05,,커스텀커피 강남구청점,서울특별시 강남구 학동로68길 7,37.5174448,127.0467984
130,2022-07-25,,커스텀커피 현대백화점 본점,서울특별시 강남구 압구정로 165,37.5273339,127.0274702
131,2017-08-22,,스타벅스도곡공원점,서울특별시 강남구 도곡로 205,37.493112,127.041268
132,2021-11-01,,업.사이드 커피(대치동),서울특별시 강남구 삼성로82길 27,37.505647,127.0599218
133,2020-10-21,,매머드익스프레스 수서역점,서울특별시 강남구 광평로51길 8,37.4883694,127.1024722
134,2013-06-07,,시나브로,서울특별시 강남구 논현로85길 71,37.4973656,127.0325989
135,2014-08-21,,스타벅스커피 도곡역점,서울특별시 강남구 남부순환로 2909,37.4922077,127.0573813
136,2021-07-07,,이마트24 R센터필드점,서울특별시 강남구 테헤란로 231,37.5032113,127.0414917
137,2012-01-05,,스타벅스 역삼럭키,서울특별시 강남구 도곡로 183,37.49227,127.039393
138,2021-08-30,,포스코타워 역삼카페,서울특별시 강남구 테헤란로 134,37.4994355,127.0335909
139,2022-04-12,,지에스25 대치타운점,서울특별시 강남구 선릉로76길 25,37.502005,127.0525548
140,2022-05-10,,스타벅스 강남역신분당역사점,서울특별시 강남구 강남대로 지하,37.5061648,127.0257813
141,2021-12-03,,스타벅스 강남논현점,서울특별시 강남구 강남대로 512,37.5078464,127.0233683
142,2022-04-07,,이디야커피 삼성중앙역점,서울특별시 강남구 삼성로 608,37.5138721,127.0532571
143,2022-06-28,,스타벅스 삼성역점,서울특별시 강남구 테헤란로 620,37.5092048,127.0654863
144,2020-04-13,,스타벅스 코엑스 별마당점,서울특별시 강남구 영동대로 513,37.5125207,127.0588194
145,2016-02-23,,스타벅스커피 포스코사거리점,서울특별시 강남구 테헤란로 505,37.507586,127.0574469
146,2016-08-25,,라면먹고갈래?,서울특별시 강남구 선릉로 312,37.4975233,127.0526743
147,2021-09-08,,GS더프레시 디에이치자이점,서울특별시 강남구 영동대로 22,37.4909336,127.0751203
148,2015-11-19,,청년카페,서울특별시 강남구 개포로38길 12,37.478856,127.0516235
149,2022-04-22,,캠핑고양이,서울특별시 강남구 선릉로 420,37.5025104,127.0502667
150,2022-12-16,,연리희재,서울특별시 강남구 압구정로 343,37.5285614,127.0400548
151,2022-04-22,,방하,서울특별시 강남구 남부순환로 2732,37.4857789,127.0448822
152,2021-03-24,,온푸(ONFU),서울특별시 강남구 삼성로149길 3-11,37.5226726,127.0472684
153,2022-05-31,,하프웨이(Halfway),서울특별시 강남구 강남대로152길 55,37.5187051,127.0236319
154,2019-10-18,,얌샘김밥플러스 압구정점,서울특별시 강남구 압구정로 214,37.5279527,127.0307698
155,2020-12-29,,스타벅스 테헤란로아남타워점,서울특별시 강남구 테헤란로 311,37.5038296,127.044828
156,2020-11-23,,스타벅스 역삼이마트점,서울특별시 강남구 역삼로 310,37.499217,127.0484398
157,2018-11-19,,리필커피(RE FEEL),서울특별시 강남구 도산대로 233,37.521519,127.0323219
158,1996-12-12,,씨네하우스,서울특별시 강남구 도산대로 310,37.5215778,127.0354561
159,2009-04-24,,데비스파라,서울특별시 강남구 논현로10길 26,37.4747843,127.0506741
160,2015-09-21,,스타벅스커피 선정릉역점,서울특별시 강남구 봉은사로 407,37.5107842,127.0445632
161,2021-07-30,,압구정로데오 맞이방 종합제과(브타이거),서울특별시 강남구 압구정로 지하,37.5263577,127.0335584
162,2011-08-25,,스타벅스논현힐탑,서울특별시 강남구 논현로 648,37.5115769,127.0321974
163,2009-03-13,,매머드 익스프레스 국기원점,서울특별시 강남구 테헤란로5길 11,37.4995267,127.0292602
164,2009-03-27,,코코호도 강남구청역점,서울특별시 강남구 학동로 323,37.5166171,127.0382682
165,2016-03-16,,휘카페,서울특별시 강남구 삼성로 155,37.4938284,127.062941
166,2011-01-13,,피자투어(일원점),서울특별시 강남구 일원로3길 24,37.4916541,127.0824669
167,2019-09-09,,치&강 압구정로데오역점,서울특별시 강남구 압구정로 지하,37.5263577,127.0335584
168,2016-07-14,,지에스25 강남쥬비스점,서울특별시 강남구 삼성로 434,37.505702,127.057668
169,2016-11-08,,스타벅스 강남우성점,서울특별시 강남구 강남대로 328,37.4923581,127.0307076
170,2016-03-28,,안젤로,서울특별시 강남구 언주로30길 57,37.4897104,127.0544907
171,2005-08-05,,스타벅스 지에스타워점,서울특별시 강남구 논현로 508,37.5020938,127.0367984
172,2012-02-24,,스타벅스코엑스사거리,서울특별시 강남구 영동대로 616,37.5153901,127.0601242
173,2003-12-23,,델키스,서울특별시 강남구 영동대로 511,37.5103975,127.0611934
174,2010-03-17,,스타벅스 르네상스사거리점,서울특별시 강남구 테헤란로 306,37.5025912,127.0441026
175,2015-04-10,,정겨운 분식,서울특별시 강남구 도산대로85길 30,37.5264323,127.0496672
176,2018-04-19,,더치앤빈 삼성점,서울특별시 강남구 테헤란로83길 15,37.5084133,127.0571905
177,2014-12-08,,스타벅스 신사역점,서울특별시 강남구 도산대로 108,37.5162574,127.0206194
178,2009-09-22,,버거프로젝트,서울특별시 강남구 테헤란로 517,37.5085949,127.0597186
