스벅 인허가일자,스벅 폐업일자,강남구 스타벅스,스타벅스 도로명주소,스타벅스 위도,스타벅스 경도,맥날 인허가일자,맥날 폐업일자,강남구 맥도날드,맥도날드 도로명주소,맥도날드 위도,맥도날드 경도,강남구 미쉐린,미쉐린 도로명주소,미쉐린 위도,미쉐린 경도
2015-09-09,,스타벅스커피 학동사거리점,서울특별시 강남구 도산대로 328,37.5224015,127.0379633,,,,,,,,,,
2014-02-18,,스타벅스커피 청담사거리점,서울특별시 강남구 도산대로 458,37.5237869,127.0468574,,,,,,,,,,
2013-09-10,,스타벅스 커피 청담점,서울특별시 강남구 도산대로 532,37.5243529,127.051588,,,,,,,,,,
2008-12-03,,스타벅스 삼성현대힐점,서울특별시 강남구 삼성로 605,37.5135167,127.0527215,,,,,,,,,,
2004-08-23,,스타벅스학동역점,서울특별시 강남구 논현로 704,37.5146533,127.0307242,,,,,,,,,,
2011-07-08,2023-02-24,스타벅스청담공원점,서울특별시 강남구 학동로 506,37.5187993,127.0513941,,,,,,,,,,
2011-08-25,2023-02-24,스타벅스청담사거리,서울특별시 강남구 도산대로 523,37.5249521,127.0506343,,,,,,,,,,
2010-05-11,2022-05-16,스타벅스 뱅뱅사거리점,서울특별시 강남구 강남대로 282,37.4885631,127.0324757,,,,,,,,,,
2013-03-12,2020-11-09,스타벅스 삼성역점,서울특별시 강남구 테헤란로103길 9,37.5100884,127.0638762,,,,,,,,,,
2003-04-22,2021-04-02,스타벅스기술센터점,서울특별시 강남구 테헤란로 305,37.5032976,127.0436475,,,,,,,,,,
2006-05-24,2021-07-20,스타벅스수서점,서울특별시 강남구 밤고개로1길 10,37.4880163,127.1018486,,,,,,,,,,
2011-11-10,2022-11-10,스타벅스 차병원사거리,서울특별시 강남구 봉은사로 213,37.5080436,127.035373,,,,,,,,,,
2009-12-10,2023-01-03,스타벅스 역삼역점,서울특별시 강남구 테헤란로 145,37.5008,127.0351565,,,,,,,,,,
